,,Spaceshield Hack 2026,,,,,,,
,,,,Dostępność,,,,,Poznaj swojego mentora (BIO)
,13,Jakub Kiryła,"AI, algorytmy, fizyka, Raspberry, Java",x,x,x,,,"Asystent naukowo-dydaktyczny w Katedrze Sztucznej Inteligencji Wyższej Szkoły Informatyki i Zarządzania. W pracy zawodowej zajmuję się algorytmami oraz sztuczna inteligencją a moje zainteresowania naukowe i prywatne koncentrują się wokół robotyki, projektów na komputery jednopłytkowe, eksploracji kosmosu oraz astrofizyki."
,14,Jakub Hinca,"Czynnik ludzki w eksploracji kosmosu, analogowe misje kosmiczne, adaptacje człowieka w środowiskach ekstremalnych, trening i przygotowanie astronautów",x,x,,,,"Fizjoterapeuta, trener, szkoleniowiec, doktorant gdańskiej Akademii Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego. Pasjonat aktywności - zarówno tej rozwijającej ciało, jak i umysł. Doświadczenie projektowe i w zakresie kompetencji miękkich nabywał podczas działalności studenckiej na arenie lokalnej i ogólnopolskiej. Poszukiwanie swojej pasji doprowadziło go do sektora kosmicznego, w którym edukuje się w zakresie ludzkiej eksploracji środowisk ekstremalnych - w tym właśnie przestrzeni"
,15,Filip Zdrojewski,"AI, Kierowanie Projektami, Strony Internetowe, Obróbka Danych Satelitarnych",x,x,,,,"Jestem z Astrofizycznego Koła Naukowego, posiadam doświadczenie w programowaniu systemów erp oraz kierowaniu projektami."
,16,Wiktor Żmuda,"Elektronika, Lotnictwo, Inżynieria Systemowa, Automatyka, Balony Stratosferyczne",x,,,x,,"Konstruktor awionik, specjalizujący się w tworzeniu elektrycznych instalacji pokładowych oraz w projektowaniu układów elektronicznych. Wyróżniony globalną nominacją NASA Space Apps 2021."
,17,Łukasz Szymański,"Marketing, Sprzedaż, Transformacja cyfrowa,",x,x,,,,"Z wykształcenia informatyk, z powołania marketingowiec, z doświadczenia doradca biznesowy. Dzięki takiemu połączeniu wie, jak po ludzku opowiadać o najbardziej nawet skomplikowanych projektach IT. Niezależnie od sytuacji potrafi zarazić pozytywną energią i podsuwać czasem zwariowane, ale przeważnie skuteczne pomysły. Bywa prelegentem, doradcą start-upów, trenerem, konsultantem, ale i publicystą, który ma sporo do powiedzenia na temat wykorzystania narzędzi internetowych w biznesie."
,18,Habib Moskin,"Software Product Assurance, Change Management, Product Strategy",x,,,,,"I lead Testspring’s Quality & Orbital Testlabs, designing validation frameworks and analog & orbital test missions that let companies verify software and hardware directly in space. I work with global enterprises like Maersk and Microsoft, plus deep-tech and space startups, helping them uncover vulnerabilities and accelerate TRL progression. I also teach Software Quality at Silesian University, training engineers to think in terms of risk, resilience, and system integrity."
,19,Aleksander Kopyto,"Elektronika, biznes, embedded, RF, space",x,x,,,,"Rozwija własny startup z systemami detekcji dronów SentiGuard Systems. Założył i prowadzi koło naukowe AGH Skylink (łączność kosmiczna, laserowa, radiowa). W AGH Space Systems był członkiem zarządu, tworzył elektronikę w rakiecie Turbulence, obsługiwał testy jej silnika na paliwo ciekłe, stworzył rozwiązanie do śledzenia jej lotu drogą radiową. Pracował w Centrum Badań Kosmicznych w Warszawie jako elektronik, wcześniej w projeckie rozwoju detektora ALICE w CERN oraz jako QC Shifter"
,20,Dominik Fidziukiewicz,Generative AI,x,x,,,,"AI Context Engineer | Product Designer | Praktyk wdrożeń AI w produktach i organizacjach 🏅 Prezes Generatywni - wspieram realne projekty z AI (od koncepcji do wdrożenia) 🤝 Pracuję w utter.one - specjalistycznej firmie z obszaru Conversational AI / Voice AI, która projektuje i wdraża inteligentne interakcje głosowe i konwersacyjne - od asystentów głosowych, przez chatboty, po zaawansowane rozwiązania w AR/VR i integracje z dużymi modelami językowymi. W swojej karierze przeszedłem od tworzen        nie dajemy tego"
,21,Daniel Zieliński,Tworzenie oprogramowania. Branding. Strategia i zapewnienie jakości w IT (testowanie). IT Project Management.,x,,,,,"Daniel Zieliński is CEO and founder of QAbird, a technology consultancy specializing in data engineering, QA, automation, and digital products. Since 2008, he has helped organizations build strong teams and deliver high-quality software through a data-informed, business-focused approach."
,22,Dolecki Kacper,"End-to-End Application Development, UX/UI Design, System Architecture, JavaScript / TypeScript Ecosystem",x,x,,,,"Jestem programistą full stack, pracującym nad systemem do dokumentacji medycyny pracy e-Orzecznik.pl Na co dzień projektuję i implementuję architekturę aplikacji webowych end-to-end — od backendu, przez API i integracje systemowe, po frontend. Pracuję z rozwiązaniami nastawionymi na stabilność, przetwarzanie danych i integracje z zewnętrznymi systemami. W wolnym czasie rozwijam projekty w React Native oraz aplikacje webowe, skupiając się na nowoczesnych stackach i skalowalnych architekturach."
,23,Sylwia Wójcik,No-code AI in Design UX for Startups Web &amp; App Design Conversion &amp; Usability,,x,,x,,"Product Designer i Head of Design z 7+ lat doświadczenia w UX/UI i projektowaniu produktów cyfrowych. Specjalizuję się w szybkim prototypowaniu, design systems i przekładaniu pomysłów na działające MVP. Na hackathonach wspieram zespoły w dopracowaniu koncepcji, UX flow i przygotowaniu projektu do pitchu. Pomagam upraszczać złożone problemy i tworzyć rozwiązania, które są logiczne i użyteczne"
,24,Marcin Giza,"Edukacja, dane satelitarne",x,,,,,"President of the ""SpaceShip"" Foundation, educator and science populariser. Creator of the ""Cosmic Challenge"" programme and Polish organizer of one of the largest robotics leagues in the world - the World Robot Olympiad."
,25,Ewelina Sołtysik,"HR, canva, leadership",x,,,,,"Ewelina Sołtysik - prezes firmy specjalizującej się w rekrutacji talentów i wykwalifikowanych specjalistów dla wiodących organizacji w regionie. Wspiera firmy w pozyskiwaniu talentów m.in. w obszarach IT, inżynierii, produkcji, finansów oraz marketingu, łącząc potrzeby biznesu z potencjałem kandydatów."
,26,Yelyzaveta Leshchenko,Photonics Engineer | R&D specialist | Space & Defence Technologies,x,x,x,x,,"Yelyzaveta Leshchenko jest inżynierką R&D w VIGO Photonics, gdzie projektuje i rowija zaawansowane detektory podczerwieni dla zastosowań kosmicznych i obronnych. Jest członkinią Stowarzyszenia Polskich Profesjonalistów Sektora Kosmicznego oraz Polskiego Towarzystwa Astrobiologicznego, aktywnie wspierając rozwój technologii i współpracę w sektorze kosmicznym. W 2025 roku została wyróżniona w rankingu TOP 100 Kobiet w Inżynierii przez Fundację Perspektywy za wkład w rozwój innowacyjnych technologii i promowanie kobiet w nauce i inżynierii."
,27,Kamila Niedźwiedź,"Modelarstwo rakietowe, Technologie kosmiczne, Uzbrojenie lotnicze, Misje Stratosferyczne, Edukacja Kosmiczna",x,x,x,x,,"Studentka Lotnictwa i Kosmonautyki na Wojskowej Akademii Technicznej w Warszawie. Interesuje się technologiami kosmicznymi oraz inżynierią lotniczą i rakietową, aktywnie rozwijając swoje kompetencje w Polskim Towarzystwie Rakietowym. Uczestniczy w wydarzeniach sektora kosmicznego, popularyzując modelarstwo rakietowe. Jako edukator prowadzi warsztaty badawczo-naukowe dla dzieci i młodzieży."
,28,Michał Szleger,Architektura systemów · Planowanie delivery · Decyzje architektoniczne · IT & Biznes · Storytelling,x,x,x,,x,"Michał Szleger to Solution Architect w Capgemini z doświadczeniem w projektowaniu i wdrażaniu złożonych systemów IT dla organizacji enterprise. Na hackathonach wspiera zespoły w przekładaniu pomysłów na realistyczną architekturę, dopasowaniu rozwiązań do realnych ograniczeń technicznych i biznesowych oraz w planowaniu ścieżki od prototypu do wdrożenia produkcyjnego."
